pair_index,geometry_stratum,C_img_signed,C_pe_signed,C_text_signed,A_img,A_pe,A_visual,in_V50,in_V25,G_PRE_POST
198,START|mild|2to4,0.0372895598412,-0.0245177741162,-0.00757862627506,0.0372895598412,0.0245177741162,0.594911937378,False,False,-0.0224460586905
199,START|mild|lt2,0.0286728143692,-0.0171925525647,-0.00618062913418,0.0286728143692,0.0171925525647,0.463796477495,False,False,-0.000422313809395
200,END|mild|2to4,0.0210055112839,0.00745885097422,0.00708404928446,0.0210055112839,0.00745885097422,0.308219178082,True,True,0.00449405610561
201,START|mild|lt2,0.0208213329315,0.0332007417455,-0.0181222707033,0.0208213329315,0.0332007417455,0.54011741683,False,False,0.00420735776424
202,START|medium|2to4,0.0501579046249,0.0495413548779,0.00476690381765,0.0501579046249,0.0495413548779,0.831702544031,False,False,0.0927824899554
203,START|mild|lt2,0.0103577375412,-0.0148955045734,-0.00656826794147,0.0103577375412,0.0148955045734,0.274951076321,True,False,0.00148966908455
204,END|mild|2to4,0.0137774348259,0.0103943492286,0.0235240031034,0.0137774348259,0.0103943492286,0.272015655577,True,True,-0.00331425666809
205,END|mild|lt2,0.030320584774,-0.00328530091792,-0.0141683779657,0.030320584774,0.00328530091792,0.331702544031,True,False,-0.00432696938515
206,END|medium|2to4,0.0147271752357,0.0212263907306,-0.00131938606501,0.0147271752357,0.0212263907306,0.379647749511,True,True,-0.00272405892611
207,END|medium|2to4,0.0119680762291,-0.0150780053809,-0.000886432826519,0.0119680762291,0.0150780053809,0.293542074364,True,True,0.00665947794914
208,END|medium|lt2,0.00987446308136,0.0539076793939,-0.00295479595661,0.00987446308136,0.0539076793939,0.544031311155,True,False,6.06030225754e-05
209,START|medium|2to4,0.000547111034393,0.0261054933071,0.00468678213656,0.000547111034393,0.0261054933071,0.271037181996,True,True,0.00415545701981
210,END|medium|2to4,0.0893952250481,0.0145554123446,-0.0090833902359,0.0893952250481,0.0145554123446,0.627201565558,False,False,-0.00301651656628
211,START|medium|2to4,0.0146687626839,0.0489795189351,0.0133185908198,0.0146687626839,0.0489795189351,0.568493150685,True,False,0.00600984692574
212,END|mild|lt2,0.00738453865051,-0.00474015367217,0.0106080174446,0.00738453865051,0.00474015367217,0.146771037182,True,True,-0.00191432237625
213,END|mild|lt2,0.0127822756767,0.0241341742221,-0.00885657966137,0.0127822756767,0.0241341742221,0.383561643836,False,False,0.00357837975025
214,END|mild|2to4,0.0561026334763,0.0156167147215,-0.027470767498,0.0561026334763,0.0156167147215,0.593933463796,False,False,0.00351096689701
215,START|mild|lt2,0.0358325839043,-0.0234212558717,7.30454921722e-05,0.0358325839043,0.0234212558717,0.574363992172,False,False,0.00320794433355
216,START|mild|2to4,0.0152698755264,-0.0182669649366,-0.000126197934151,0.0152698755264,0.0182669649366,0.351272015656,True,False,-0.00199484080076
217,START|mild|2to4,0.062213242054,0.0194367824588,-0.0094527900219,0.062213242054,0.0194367824588,0.643835616438,False,False,-0.00202774256468
218,END|mild|lt2,0.0338807106018,0.0384422610514,-0.00830134749413,0.0338807106018,0.0384422610514,0.685909980431,False,False,-0.000161580741405
219,END|mild|2to4,0.0397430062294,-0.00712859490886,-0.00686533004045,0.0397430062294,0.00712859490886,0.451076320939,True,False,-0.000908449292183
220,START|mild|lt2,0.010707616806,-0.0401240710635,0.00489144027233,0.010707616806,0.0401240710635,0.495107632094,False,False,0.00149525702
221,START|mild|2to4,0.0225996375084,-0.00607276242226,0.00102028995752,0.0225996375084,0.00607276242226,0.307240704501,True,True,0.00617135316133
222,START|mild|lt2,0.00278896093369,0.00349277886562,-0.00383128970861,0.00278896093369,0.00349277886562,0.0763209393346,True,True,-0.00160001218319
223,END|mild|2to4,0.0516213178635,0.00471043679863,-0.0234482809901,0.0516213178635,0.00471043679863,0.47553816047,True,False,0.00111746788025
