unit,cohort,sample_id,source_shard,target,orientation,zoom,latent_shift,norm_offset,pixel_shift,opp_na,strict_identity,PRE_L_CORRECT,PRE_L_IDENTITY,PRE_M_IDENTITY,PRE_M_OPPOSITE,PRE_M_SHUFFLED,PRE_S_OPPOSITE_relrms,PRE_best3,MID_L_CORRECT,MID_L_IDENTITY,MID_M_IDENTITY,MID_M_OPPOSITE,MID_M_SHUFFLED,MID_S_OPPOSITE_relrms,MID_best3,POST_L_CORRECT,POST_L_IDENTITY,POST_M_IDENTITY,POST_M_OPPOSITE,POST_M_SHUFFLED,POST_S_OPPOSITE_relrms,POST_best3
1847,camera,4660375,data/1_2024/shard-000477.tar,256x256,horizontal,1.3332,1.406,0.6131,22.5,0,0,0.549742,0.543965,-0.005777,-0.000591,-0.004488,0.042528,0.250,0.538821,0.542303,0.003483,0.000162,0.003271,0.037505,0.250,0.541116,0.543761,0.002645,-0.000721,0.002405,0.029254,0.000
1848,camera,6671375,data/1_2024/shard-000477.tar,256x256,vertical,1.2870,4.688,0.0536,-75.0,0,0,0.592496,0.576654,-0.015843,-0.000897,-0.011355,0.137776,0.000,0.574631,0.576052,0.001421,0.001285,0.000812,0.057509,0.250,0.573955,0.576071,0.002116,0.002085,0.001700,0.060632,0.500
1849,camera,4104375,data/1_2024/shard-000477.tar,256x256,horizontal,1.2406,3.500,0.9058,56.0,0,0,0.382188,0.384330,0.002141,0.008906,0.000096,0.138524,0.250,0.375948,0.383353,0.007405,0.008461,0.005488,0.094271,0.500,0.376179,0.385951,0.009772,0.011244,0.007560,0.100401,0.500
1850,camera,5973375,data/1_2024/shard-000477.tar,256x256,vertical,1.2022,2.750,0.1140,-44.0,0,0,0.596681,0.593934,-0.002746,0.002900,0.001033,0.071224,0.000,0.591622,0.592502,0.000879,0.003661,0.003163,0.046120,0.500,0.590453,0.590829,0.000376,0.003525,0.002533,0.044534,0.750
1851,camera,3378375,data/1_2024/shard-000477.tar,256x256,vertical,1.1180,0.812,0.2969,-13.0,0,0,0.656658,0.656168,-0.000490,0.000139,0.000998,0.026892,0.250,0.657301,0.657112,-0.000189,-0.000315,-0.000213,0.018927,0.250,0.657161,0.656847,-0.000314,0.000128,0.000896,0.019536,0.250
1852,camera,7454375,data/1_2024/shard-000477.tar,256x256,vertical,1.1908,2.844,0.9252,45.5,0,0,0.501839,0.498517,-0.003322,0.000635,-0.003439,0.082072,0.000,0.491630,0.496238,0.004609,0.004122,0.003942,0.081334,0.250,0.492328,0.496425,0.004097,0.005304,0.004597,0.085319,0.500
1853,camera,275375,data/1_2024/shard-000477.tar,256x256,horizontal,1.1541,1.719,0.8235,27.5,0,0,0.642877,0.643578,0.000702,0.001046,0.001316,0.047260,0.750,0.643786,0.646518,0.002732,0.000387,0.005299,0.037786,0.500,0.642293,0.644036,0.001742,0.000134,0.005201,0.043458,0.500
1854,camera,7437375,data/1_2024/shard-000477.tar,256x256,vertical,1.1776,1.281,0.7071,20.5,0,0,0.779009,0.778982,-0.000027,-0.000133,-0.000018,0.032061,0.250,0.777418,0.778411,0.000993,0.000328,0.000032,0.029710,0.500,0.776998,0.777496,0.000497,0.000205,-0.000002,0.031517,0.500
1855,camera,2211375,data/1_2024/shard-000477.tar,256x256,vertical,1.1891,2.000,0.8019,32.0,0,0,0.414558,0.414043,-0.000515,0.001117,-0.000220,0.040006,0.250,0.411459,0.414620,0.003161,0.003655,0.003438,0.046138,0.750,0.408655,0.411700,0.003045,0.003059,0.002770,0.045308,1.000
1856,camera,6839375,data/1_2024/shard-000477.tar,256x256,vertical,1.3229,2.562,0.2865,-41.0,0,0,0.439407,0.430972,-0.008435,-0.003844,0.012465,0.073444,0.000,0.434230,0.432244,-0.001986,-0.001533,0.000396,0.047077,0.000,0.433991,0.433865,-0.000126,-0.000430,0.000341,0.062999,0.250
1857,camera,3045375,data/1_2024/shard-000477.tar,256x256,vertical,1.1145,1.688,0.0645,-27.0,0,0,0.358870,0.358119,-0.000751,0.000157,0.001097,0.037253,0.250,0.359895,0.360165,0.000270,-0.000675,0.000896,0.029670,0.250,0.357701,0.357545,-0.000156,-0.000218,0.001495,0.031948,0.250
1858,camera,2813375,data/1_2024/shard-000477.tar,256x256,vertical,1.1891,2.938,0.9434,47.0,0,0,0.453487,0.452457,-0.001030,0.008012,0.007341,0.084250,0.250,0.450269,0.453039,0.002771,0.003715,0.003756,0.057474,0.500,0.447134,0.450589,0.003455,0.004532,0.004504,0.057568,0.250
1859,camera,2008375,data/1_2024/shard-000477.tar,256x256,vertical,1.2119,1.188,0.3417,-19.0,0,0,0.550897,0.542852,-0.008045,-0.000543,0.004251,0.043092,0.000,0.543538,0.542746,-0.000792,0.001322,0.004134,0.041352,0.250,0.548232,0.544607,-0.003625,0.005398,0.006303,0.045860,0.000
1860,camera,533375,data/1_2024/shard-000477.tar,256x256,vertical,1.2151,1.375,0.6803,22.0,0,0,0.566453,0.569628,0.003175,-0.000286,-0.000988,0.039721,0.250,0.565380,0.570014,0.004634,-0.000338,-0.000363,0.024320,0.500,0.564208,0.569211,0.005003,-0.000322,-0.000645,0.028417,0.500
1861,camera,708375,data/1_2024/shard-000477.tar,256x256,vertical,1.1973,1.719,0.7477,27.5,0,0,0.539387,0.540515,0.001129,0.006807,0.012676,0.078111,0.250,0.536626,0.540926,0.004300,0.004956,0.005646,0.043433,0.750,0.536241,0.540506,0.004265,0.003218,0.003671,0.041583,0.500
1862,camera,1729375,data/1_2024/shard-000477.tar,256x256,vertical,1.1541,1.156,0.2824,-18.5,0,0,0.414134,0.412299,-0.001836,0.000747,0.003505,0.034948,0.250,0.413748,0.413960,0.000212,-0.000202,0.001738,0.023125,0.250,0.413040,0.413198,0.000158,0.000083,0.001849,0.023258,0.250
