pair_id,source_shard,sample_id,original_side,zoom_band,k_start,k_end,available,full_height,signed_shift_start,M_TOP_PRE,M_TOP_MID,M_TOP_POST,M_BOT_PRE,M_BOT_MID,M_BOT_POST,G_PRE_MID,G_MID_POST,G_PRE_POST,content_asymmetry,in_balanced_subset
188,data/1_2024/shard-000477.tar,2012503,START,mild,12,79,91,347,-33.5,0.00267642736435,0.00283861160278,0.00347352772951,-0.000124908983707,0.00188723951578,0.00225804746151,-0.00184996426105,0.000264108181,-0.00158585608006,0.003579952,True
189,data/1_2024/shard-000477.tar,2013503,END,mild,15,74,89,345,-29.5,0.00258761644363,0.00486428290606,0.00647059828043,0.00191667675972,0.00138689577579,0.00118792057037,0.00280644744635,0.0018052905798,0.00461173802614,0.00021179,True
190,data/1_2024/shard-000477.tar,2026375,START,mild,0,61,61,317,-30.5,0.0133848190308,0.0136937201023,0.0121514350176,0.00229947268963,0.00137446820736,0.00186638534069,0.00123390555382,-0.00203420221806,-0.000800296664238,0.00606773,True
191,data/1_2024/shard-000477.tar,2037375,START,mild,30,76,106,362,-23.0,0.00082890689373,0.00128388404846,0.00126461684704,0.00358672440052,0.00355094671249,0.00293645262718,0.000490754842758,0.000595226883888,0.00108598172665,0.01200819,False
192,data/1_2024/shard-000477.tar,2038375,END,mild,0,105,105,361,-52.5,-0.00164179503918,0.00184132158756,0.00134615600109,0.00530152767897,0.00375065207481,0.00333123654127,0.00503399223089,-7.57500529289e-05,0.00495824217796,0.013527974,False
193,data/1_2024/shard-000477.tar,2039503,START,mild,0,102,102,358,-51.0,0.00680943578482,0.00899270921946,0.00923386216164,-0.00633972883224,-0.00679091364145,-0.0113911628723,0.00263445824385,0.00484140217304,0.00747586041689,0.009600475,False
194,data/1_2024/shard-000477.tar,2044503,START,mild,18,88,106,362,-35.0,-0.00143065303564,0.00039242208004,0.000428423285484,-0.000559836626053,0.000626623630524,0.00122937560081,0.000636614859104,-0.000566750764847,6.98640942574e-05,0.009083033,False
195,data/1_2024/shard-000477.tar,2075503,START,mild,20,83,103,359,-31.5,0.0113555938005,0.00855024904013,0.00896617025137,0.00215651839972,0.00156289339066,0.000954620540142,-0.00221171975136,0.00102419406176,-0.0011875256896,0.000701692,True
196,data/1_2024/shard-000477.tar,2080503,END,strong,59,158,217,473,-49.5,-0.00430768728256,-0.00211373716593,-0.00469455868006,0.0120511502028,0.00424859672785,0.00229394435883,0.00999650359154,-0.000626169145107,0.00937033444643,0.015455477,False
197,data/1_2024/shard-000477.tar,2085375,START,mild,16,86,102,358,-35.0,0.00268721580505,0.00253714621067,0.00230903923512,0.00639288127422,0.00440447032452,0.00419025123119,0.00186538696289,-2.15917825699e-05,0.00184379518032,0.024582826,False
198,data/1_2024/shard-000477.tar,2086503,START,mild,5,101,106,362,-48.0,0.0269748643041,0.0328684896231,0.00363756716251,0.00477881729603,0.00364296138287,0.00388757884502,0.00702948123217,-0.0294755399227,-0.0224460586905,0.007578626,True
199,data/1_2024/shard-000477.tar,2092503,START,mild,26,80,106,362,-27.0,0.00280778110027,0.00242917239666,0.0025172829628,0.000194400548935,0.000918447971344,0.00032103061676,-0.00112481415272,0.000702500343323,-0.000422313809395,0.006180629,True
200,data/1_2024/shard-000477.tar,2099503,END,mild,8,88,96,352,-40.0,0.000127211213112,0.000498130917549,0.000976920127869,-0.00383105874062,-0.0107809752226,-0.00747540593147,0.00732083618641,-0.0028267800808,0.00449405610561,0.007084049,True
201,data/1_2024/shard-000477.tar,2105503,START,mild,31,75,106,362,-22.0,-0.00433628261089,-0.000700235366821,-0.000540114939213,0.0015130713582,0.00133439898491,0.00110188126564,0.00381471961737,0.000392638146877,0.00420735776424,0.018122271,False
